"teamid","total_wins","team_salary"
"NYA","1505","$3,047,137,657.00"
"SLN","1455","$1,564,175,387.00"
"BOS","1422","$2,244,609,605.00"
"LAN","1393","$2,083,523,132.00"
"ATL","1381","$1,424,245,926.00"
"OAK","1369","$965,978,860.00"
"SFN","1365","$1,711,653,388.00"
"PHI","1345","$1,758,350,323.00"
"TEX","1325","$1,493,609,120.00"
"CHA","1304","$1,500,293,976.00"
"TOR","1300","$1,320,119,132.00"
"MIN","1295","$1,160,717,904.00"
"CLE","1295","$1,083,032,280.00"
"CHN","1288","$1,641,008,162.00"
"NYN","1281","$1,718,420,612.00"
"SEA","1269","$1,501,251,033.00"
"DET","1257","$1,730,611,133.00"
"ARI","1253","$1,177,169,459.00"
"HOU","1238","$1,159,514,747.00"
"CIN","1231","$1,185,557,183.00"
"SDN","1225","$989,561,977.00"
"MIL","1221","$1,103,988,658.00"
"TBA","1219","$760,814,289.00"
"BAL","1203","$1,336,554,654.00"
"COL","1190","$1,176,577,595.00"
"PIT","1178","$897,749,487.00"
"KCA","1156","$1,017,176,218.00"
"LAA","1065","$1,441,928,434.00"
"WAS","950","$1,012,600,139.00"
"FLO","884","$447,542,012.00"
"MIA","358","$338,887,502.00"
"ANA","343","$288,823,168.00"
"MON","301","$166,676,000.00"
