"teamid","total_wins","total_attend"
"NYA","1505","58495152"
"SLN","1455","52888435"
"BOS","1422","46466930"
"LAN","1393","56302147"
"ATL","1381","39101975"
"OAK","1369","29479543"
"SFN","1365","51584001"
"PHI","1345","44495437"
"TEX","1325","41172841"
"CHA","1304","33164590"
"TOR","1300","34849294"
"MIN","1295","36979419"
"CLE","1295","30397034"
"CHN","1288","47961695"
"NYN","1281","44014864"
"SEA","1269","39654117"
"DET","1257","39498837"
"ARI","1253","37031107"
"HOU","1238","38980402"
"CIN","1231","34266878"
"SDN","1225","37887696"
"MIL","1221","40930678"
"TBA","1219","22728889"
"BAL","1203","36688181"
"COL","1190","41290884"
"PIT","1178","31148454"
"KCA","1156","28092982"
"LAA","1065","38377383"
"WAS","950","27455620"
"FLO","884","15333536"
"MIA","358","9002701"
"ANA","343","10740557"
"MON","301","3229469"
